Year	Catch	Index	Se.Index			
1997	1095	1.485	0.425056786			
1998	652	1.390	0.356444496			
1999	1319	4.201	1.867338593			
2000	645	0.659	0.486182327			
2001	626	2.630	1.049932258			
2002	439	0.618	0.179587398			
2003	846	2.746	0.812997522			
2004	611	1.045	0.589656263			
2005	739	1.836	1.062042744			
2006	1352	2.618	0.794644765			
2007	1105	3.191	0.536404487			
2008	1040	2.468	0.419109044			
2009	786	1.039	0.309167582			
2010	2280	4.669	0.876926864			
2011	2488	6.282	1.489256557			
2012	4310	9.552	2.02801943			
2013	1080	2.260	0.993695876			
2014	1247	2.875	0.859651092
2015	1925	2.960	0.994987					
2016	1899	6.190	1.307670
2017	1167	NA	NA
2018	843	1.540	NA	
2019	797	3.150
