Stock,Year,Catches_tons,Index_CPUE,Index_Survey,Index_Effort
nepFU2627,1975,622,,,
nepFU2627,1976,603,,,
nepFU2627,1977,620,,,
nepFU2627,1978,575,,,
nepFU2627,1979,580,,,
nepFU2627,1980,599,,,
nepFU2627,1981,823,,,
nepFU2627,1982,736,,,
nepFU2627,1983,786,,433,
nepFU2627,1984,618,,217,
nepFU2627,1985,765,,153,
nepFU2627,1986,694,,551,
nepFU2627,1987,742,,,
nepFU2627,1988,727,,677,
nepFU2627,1989,708,,447,
nepFU2627,1990,449,,589,
nepFU2627,1991,603,,717,
nepFU2627,1992,636,,370,
nepFU2627,1993,522,,129,
nepFU2627,1994,448,86.9,56,2692
nepFU2627,1995,511,93.4,266,2859
nepFU2627,1996,331,49.5,56,3191
nepFU2627,1997,433,66.2,73,3702
nepFU2627,1998,345,65.8,91,2857
nepFU2627,1999,248,49.4,142,2714
nepFU2627,2000,132,29,68,2479
nepFU2627,2001,132,33.7,225,2374
nepFU2627,2002,87,31.1,19,1671
nepFU2627,2003,73,36.9,36,1597
nepFU2627,2004,71,15.7,18,1980
nepFU2627,2005,43,10.4,10,1629
nepFU2627,2006,44,11.6,40,1547
nepFU2627,2007,47,18.4,12,1196
nepFU2627,2008,42,17.3,27,980
nepFU2627,2009,31,17.6,24,854
nepFU2627,2010,21,15.3,82,539
nepFU2627,2011,20,6.5,9,543
nepFU2627,2012,8,2.1,8,492
nepFU2627,2013,3,1,36,419
nepFU2627,2014,4,0.8,17,494
nepFU2627,2015,2,0.7,15,384
nepFU2627,2016,6,0.6,34,403
nepFU2627,2017,3,0.3,23,417
nepFU2627,2018,2,0.9,44,398
nepFU2627,2019,6,0.3,23,383
