"","x"
"1",54271.721
"2",55246.379
"3",61608.626
"4",58752.715
"5",62838.752
"6",63617.924
"7",66715.148
"8",62683.764
"9",65225.649
"10",67813.141
"11",72495.18
"12",75822.4
"13",68996.06
"14",63416.687
"15",59923.531
"16",55424.325
"17",54990.967
"18",62608.006
"19",49739.545
"20",47304.457
"21",41855.778
"22",47993.478
"23",46220.817
"24",41157.4
"25",47514.906
"26",49403.834
"27",50770.254
"28",53473.004
"29",46014.714
"30",50113.223
"31",54412.291
"32",70292.126
"33",87875.663
"34",102731.5462
"35",94079.7534
"36",87576.0878
"37",96056.72
"38",100355.6483
"39",117681.2336
"40",108934.606
"41",95179.326
"42",87570.083
