Year,Total_Catch,evhoe,porcupine,irigfs,resg1,resg2,resg3,resg4
1978,50551,NA,NA,NA,NA,NA,NA,NA
1979,51096,NA,NA,NA,NA,NA,NA,NA
1980,57265,NA,NA,NA,NA,NA,NA,NA
1981,53918,NA,NA,NA,NA,NA,NA,NA
1982,54994,NA,NA,NA,NA,NA,NA,NA
1983,57507,NA,NA,NA,NA,NA,NA,NA
1984,63286,NA,NA,NA,NA,NA,NA,NA
1985,56099,NA,NA,NA,1557.32,6048.14,4576.86,3940.08
1986,57092,NA,NA,NA,5608.68,4774.29,6182.61,1232.42
1987,63369,NA,NA,NA,1843.39,4884.72,4716.56,3527.33
1988,64825.2,NA,NA,NA,1869.12,6369.42,4092.68,2820.19
1989,66545.8,NA,NA,NA,1240.04,7931.25,3200.38,2254.87
1990,59954,NA,NA,NA,1260.45,6805.59,4985.03,1926.46
1991,58129,NA,NA,NA,1761.17,5370.88,2504.52,1393.49
1992,56617,NA,NA,NA,1910.86,3553.04,2397.5,692.38
1993,52144,NA,NA,NA,2801.3,2479.24,3245.25,1588.43
1994,51615.2,NA,NA,NA,1288.08,6921.24,4373.93,1215.5
1995,57621,NA,NA,NA,854.48,5994.61,4394.59,1470.34
1996,47210,NA,NA,NA,1136.45,1912.67,3917.41,998.18
1997,42465,57.84,NA,NA,2358.01,3629.88,3230.14,1573.48
1998,35060,52.4,NA,NA,NA,1832.87,NA,1013.42
1999,40162.6,58.35,NA,NA,NA,1673.18,NA,2304.14
2000,42108.6,42.73,NA,NA,NA,2052.29,NA,766.14
2001,36675,78.43,12.54977443,NA,NA,3257.82,NA,4206.38
2002,40107,126.97,10.34969374,NA,NA,NA,NA,NA
2003,45271.804,47.93,19.90825578,24.35,NA,NA,NA,NA
2004,48969.443,167.9,24.22047962,73.73,NA,NA,NA,NA
2005,51225.8487,68.23,14.51929707,121.04,NA,NA,NA,NA
2006,43283.1534,75.61,14.23397921,64.06,NA,NA,NA,NA
2007,47219.4212,137.43,18.36258997,88.15,NA,NA,NA,NA
2008,50986.73,198.38,18.12071463,162.18,NA,NA,NA,NA
2009,69407.772,70.42,35.36269395,59.44,NA,NA,NA,NA
2010,82776.6677,72.54,50.91149043,84.71,NA,NA,NA,NA
2011,101695.978,113.4,39.6976998,85.65,NA,NA,NA,NA
2012,98357.2225,331.32,55.92995206,315.4,NA,NA,NA,NA
2013,93639.1017,122.15,67.19688627,102.57,NA,NA,NA,NA
2014,99853.4663,71.76,88.7374571,45.13,NA,NA,NA,NA
2015,103490.384,90.44,68.48977591,50,NA,NA,NA,NA
2016,121846.652,222.83,55.28091518,87.71,NA,NA,NA,NA
2017,112056.5581,NA,48.45947152,108.26,NA,NA,NA,NA
2018,96705.2148,87.55,29.27343345,36.3,NA,NA,NA,NA
2019,87238.1384,143.82,31.1084622,46.6014,NA,NA,NA,NA
