Year,season,Total_Catch,evhoe,porcupine,irigfs,resgasc
1978,1,13083.855,NA,NA,NA,NA
1979,1,13129.792,NA,NA,NA,NA
1980,1,14396.31,NA,NA,NA,NA
1981,1,13024.94,NA,NA,NA,NA
1982,1,14250.002,NA,NA,NA,NA
1983,1,14279.078,NA,NA,NA,NA
1984,1,14858.313,NA,NA,NA,NA
1985,1,13271.272,NA,NA,NA,1557.32
1986,1,13964.26,NA,NA,NA,5608.68
1987,1,14621.942,NA,NA,NA,1843.39
1988,1,15703.44,NA,NA,NA,1869.12
1989,1,16435.8,NA,NA,NA,1240.04
1990,1,11765.319,NA,NA,NA,1260.45
1991,1,13402.43,NA,NA,NA,1761.17
1992,1,14450.943,NA,NA,NA,1910.86
1993,1,13453.444,NA,NA,NA,2801.3
1994,1,11727.552,NA,NA,NA,1288.08
1995,1,10888.34,NA,NA,NA,854.48
1996,1,11331.863,NA,NA,NA,1136.45
1997,1,10133.327,NA,NA,NA,2358.01
1998,1,10109.129,NA,NA,NA,NA
1999,1,10271.93,NA,NA,NA,NA
2000,1,12267.608,NA,NA,NA,NA
2001,1,10675.17,NA,NA,NA,NA
2002,1,10595.601,NA,NA,NA,NA
2003,1,13739.753,NA,NA,NA,NA
2004,1,13272.029,NA,NA,NA,NA
2005,1,16528.456,NA,NA,NA,NA
2006,1,12268.738,NA,NA,NA,NA
2007,1,11501.309,NA,NA,NA,NA
2008,1,13054.397,NA,NA,NA,NA
2009,1,16558.486,NA,NA,NA,NA
2010,1,22410.613,NA,NA,NA,NA
2011,1,26150.3362,NA,NA,NA,NA
2012,1,25316.0774,NA,NA,NA,NA
2013,1,20426.7748,NA,NA,NA,NA
2014,1,20393.31,NA,NA,NA,NA
2015,1,24777.8183,NA,NA,NA,NA
2016,1,25385.0636,NA,NA,NA,NA
2017,1,26051.452,NA,NA,NA,NA
2018,1,23820.124,NA,NA,NA,NA
2019,1,21378.625,NA,NA,NA,NA
1978,2,17017.288,NA,NA,NA,NA
1979,2,17553.476,NA,NA,NA,NA
1980,2,19467.507,NA,NA,NA,NA
1981,2,18760.45,NA,NA,NA,NA
1982,2,20721.126,NA,NA,NA,NA
1983,2,20956.797,NA,NA,NA,NA
1984,2,21312.7,NA,NA,NA,NA
1985,2,20442.467,NA,NA,NA,6048.14
1986,2,21760.77,NA,NA,NA,4774.29
1987,2,21741.87,NA,NA,NA,4884.72
1988,2,24015.22,NA,NA,NA,6369.42
1989,2,25039.51,NA,NA,NA,7931.25
1990,2,22403.211,NA,NA,NA,6805.59
1991,2,20002.41,NA,NA,NA,5370.88
1992,2,19969.011,NA,NA,NA,3553.04
1993,2,18526.7,NA,NA,NA,2479.24
1994,2,17790.173,NA,NA,NA,6921.24
1995,2,19215.98,NA,NA,NA,5994.61
