Year,season,Total_Catch,evhoe,porcupine,irigfs,resgasc
1978,1,12292,NA,NA,NA,NA
1979,1,12181,NA,NA,NA,NA
1980,1,13506,NA,NA,NA,NA
1981,1,12150,NA,NA,NA,NA
1982,1,12488,NA,NA,NA,NA
1983,1,12907,NA,NA,NA,NA
1984,1,14176,NA,NA,NA,NA
1985,1,12044,NA,NA,NA,1557.32
1986,1,12021,NA,NA,NA,5608.68
1987,1,13705,NA,NA,NA,1843.39
1988,1,13805,NA,NA,NA,1869.12
1989,1,14382.5,NA,NA,NA,1240.04
1990,1,10438,NA,NA,NA,1260.45
1991,1,12268,NA,NA,NA,1761.17
1992,1,13436,NA,NA,NA,1910.86
1993,1,12375,NA,NA,NA,2801.3
1994,1,11102.2,NA,NA,NA,1288.08
1995,1,10158,NA,NA,NA,854.48
1996,1,10892,NA,NA,NA,1136.45
1997,1,9209,NA,NA,NA,2358.01
1998,1,8440,NA,NA,NA,NA
1999,1,8477,NA,NA,NA,NA
2000,1,11127.3,NA,NA,NA,NA
2001,1,9714,NA,NA,NA,NA
2002,1,8956,NA,NA,NA,NA
2003,1,12244.0666,NA,NA,NA,NA
2004,1,12426.431,NA,NA,NA,NA
2005,1,15513.2105,NA,NA,NA,NA
2006,1,11646.6212,NA,NA,NA,NA
2007,1,10909.4261,NA,NA,NA,NA
2008,1,12176.0949,NA,NA,NA,NA
2009,1,15491.5454,NA,NA,NA,NA
2010,1,20098.2175,NA,NA,NA,NA
2011,1,25947.1104,NA,NA,NA,NA
2012,1,26716.5003,NA,NA,NA,NA
2013,1,22263.0003,NA,NA,NA,NA
2014,1,21177.1034,NA,NA,NA,NA
2015,1,25281.0635,NA,NA,NA,NA
2016,1,25276.2032,NA,NA,NA,NA
2017,1,26797.3994,NA,NA,NA,NA
2018,1,24917.0997,NA,NA,NA,NA
2019,1,21769.2008,NA,NA,NA,NA
1978,2,15636,NA,NA,NA,NA
1979,2,15949,NA,NA,NA,NA
1980,2,17845,NA,NA,NA,NA
1981,2,17051,NA,NA,NA,NA
1982,2,17560,NA,NA,NA,NA
1983,2,18473,NA,NA,NA,NA
1984,2,20126,NA,NA,NA,NA
1985,2,18226,NA,NA,NA,6048.14
1986,2,18311,NA,NA,NA,4774.29
1987,2,20069,NA,NA,NA,4884.72
1988,2,20739,NA,NA,NA,6369.42
1989,2,21374.3,NA,NA,NA,7931.25
1990,2,19180,NA,NA,NA,6805.59
1991,2,18138,NA,NA,NA,5370.88
1992,2,18382,NA,NA,NA,3553.04
1993,2,16929,NA,NA,NA,2479.24
1994,2,16497.6,NA,NA,NA,6921.24
1995,2,17482,NA,NA,NA,5994.61
1996,2,15455,NA,NA,NA,1912.67
1997,2,13643,NA,NA,NA,3629.88
1998,2,9491,NA,NA,NA,1832.87
1999,2,11001,NA,NA,NA,1673.18
2000,2,12385,NA,NA,NA,2052.29
