Year,season,Total_Catch,evhoe,porcupine,irigfs,resgasc
1978,1,12292,NA,NA,NA,NA
1979,1,15636,NA,NA,NA,NA
1980,1,12601,NA,NA,NA,NA
1981,1,10022,NA,NA,NA,NA
1982,1,12181,NA,NA,NA,NA
1983,1,15949,NA,NA,NA,NA
1984,1,12929,NA,NA,NA,NA
1985,1,10037,NA,NA,NA,1557.32
1986,1,13506,NA,NA,NA,5608.68
1987,1,17845,NA,NA,NA,1843.39
1988,1,14455,NA,NA,NA,1869.12
1989,1,11459,NA,NA,NA,1240.04
1990,1,12150,NA,NA,NA,1260.45
1991,1,17051,NA,NA,NA,1761.17
1992,1,13830,NA,NA,NA,1910.86
1993,1,10887,NA,NA,NA,2801.3
1994,1,12488,NA,NA,NA,1288.08
1995,1,17560,NA,NA,NA,854.48
1996,1,14002,NA,NA,NA,1136.45
1997,1,10944,NA,NA,NA,2358.01
1998,1,12907,NA,NA,NA,NA
1999,1,18473,NA,NA,NA,NA
2000,1,14603,NA,NA,NA,NA
2001,1,11524,NA,NA,NA,NA
2002,1,14176,NA,NA,NA,NA
2003,1,20126,NA,NA,NA,NA
2004,1,16207,NA,NA,NA,NA
2005,1,12777,NA,NA,NA,NA
2006,1,12044,NA,NA,NA,NA
2007,1,18226,NA,NA,NA,NA
2008,1,14842,NA,NA,NA,NA
2009,1,10987,NA,NA,NA,NA
2010,1,12021,NA,NA,NA,NA
2011,1,18311,NA,NA,NA,NA
2012,1,15407,NA,NA,NA,NA
2013,1,11353,NA,NA,NA,NA
2014,1,13705,NA,NA,NA,NA
2015,1,20069,NA,NA,NA,NA
2016,1,16901,NA,NA,NA,NA
2017,1,12694,NA,NA,NA,NA
2018,1,13805,NA,NA,NA,NA
2019,1,20739,NA,NA,NA,NA
1978,2,17360,NA,NA,NA,NA
1979,2,12919,NA,NA,NA,NA
1980,2,14343,NA,NA,NA,NA
1981,2,21346,NA,NA,NA,NA
1982,2,17650,NA,NA,NA,NA
1983,2,13134,NA,NA,NA,NA
1984,2,10438,NA,NA,NA,NA
1985,2,19180,NA,NA,NA,6048.14
1986,2,17509,NA,NA,NA,4774.29
1987,2,12827,NA,NA,NA,4884.72
1988,2,12268,NA,NA,NA,6369.42
1989,2,18138,NA,NA,NA,7931.25
1990,2,16938,NA,NA,NA,6805.59
1991,2,10785,NA,NA,NA,5370.88
1992,2,13436,NA,NA,NA,3553.04
1993,2,18382,NA,NA,NA,2479.24
1994,2,14436,NA,NA,NA,6921.24
1995,2,10363,NA,NA,NA,5994.61
1996,2,12375,NA,NA,NA,1912.67
1997,2,16929,NA,NA,NA,3629.88
1998,2,13295,NA,NA,NA,1832.87
1999,2,9545,NA,NA,NA,1673.18
2000,2,11034,NA,NA,NA,2052.29
2001,2,16260,NA,NA,NA,3257.82
2002,2,12837,NA,NA,NA,NA
2003,2,11128,NA,NA,NA,NA
2004,2,10158,NA,NA,NA,NA
2005,2,17482,NA,NA,NA,NA
2006,2,16006,NA,NA,NA,NA
2007,2,13975,NA,NA,NA,NA
2008,2,10892,NA,NA,NA,NA
2009,2,15455,NA,NA,NA,NA
2010,2,11410,NA,NA,NA,NA
2011,2,9453,NA,NA,NA,NA
2012,2,9209,NA,NA,NA,NA
2013,2,13643,NA,NA,NA,NA
2014,2,10912,NA,NA,NA,NA
2015,2,8701,NA,NA,NA,NA
2016,2,8440,NA,NA,NA,NA
2017,2,9491,NA,NA,NA,NA
2018,2,8620,NA,NA,NA,NA
2019,2,8509,NA,NA,NA,NA
1978,3,8477,NA,NA,NA,NA
1979,3,11001,NA,NA,NA,NA
1980,3,10025,NA,NA,NA,NA
1981,3,10311,NA,NA,NA,NA
1982,3,11094,NA,NA,NA,NA
1983,3,12384,NA,NA,NA,NA
1984,3,10790,NA,NA,NA,NA
1985,3,7758,NA,NA,NA,4576.86
1986,3,9714,NA,NA,NA,6182.61
1987,3,11417,NA,NA,NA,4716.56
1988,3,7931,NA,NA,NA,4092.68
1989,3,7613,NA,NA,NA,3200.38
1990,3,8956,NA,NA,NA,4985.03
1991,3,11432,NA,NA,NA,2504.52
1992,3,9811,NA,NA,NA,2397.5
1993,3,9908,NA,NA,NA,3245.25
1994,3,11890,NA,NA,NA,4373.93
1995,3,11511,NA,NA,NA,4394.59
1996,3,9813,NA,NA,NA,3917.41
1997,3,9948,NA,NA,NA,3230.14
1998,3,12125,NA,NA,NA,NA
1999,3,12432,NA,NA,NA,NA
2000,3,12010,NA,NA,NA,NA
2001,3,9850,NA,11.37,NA,NA
2002,3,14612,NA,11.09,NA,NA
2003,3,12440,NA,20.93,NA,NA
2004,3,10630,NA,24.37,NA,NA
2005,3,8868,NA,27.9,NA,NA
2006,3,11156,NA,38.04,NA,NA
2007,3,11837,NA,36.76,NA,NA
2008,3,9289,NA,49.93,NA,NA
2009,3,9185,NA,78.07,NA,NA
2010,3,10359,NA,58.7,NA,NA
2011,3,13011,NA,47.7,NA,NA
2012,3,11635,NA,49.68,NA,NA
2013,3,10023,NA,96.11,NA,NA
2014,3,11524,NA,108.06,NA,NA
2015,3,11777,NA,67.4,NA,NA
2016,3,12031,NA,54.1,NA,NA
2017,3,12407,NA,92.32,NA,NA
2018,3,13955,NA,58.89,NA,NA
2019,3,15657,NA,38.95,NA,NA
1978,4,13641,NA,NA,NA,NA
1979,4,15565,NA,NA,NA,NA
1980,4,18558,NA,NA,NA,NA
1981,4,18105,NA,NA,NA,NA
1982,4,18269,NA,NA,NA,NA
1983,4,17867,NA,NA,NA,NA
1984,4,22438,NA,NA,NA,NA
1985,4,22652,NA,NA,NA,3940.08
1986,4,22715,NA,NA,NA,1232.42
1987,4,19735,NA,NA,NA,3527.33
1988,4,23146,NA,NA,NA,2820.19
1989,4,24341,NA,NA,NA,2254.87
1990,4,18304,NA,NA,NA,1926.46
1991,4,19886,NA,NA,NA,1393.49
1992,4,18609,NA,NA,NA,692.38
1993,4,20911,NA,NA,NA,1588.43
1994,4,19138,NA,NA,NA,1215.5
1995,4,19095,NA,NA,NA,1470.34
1996,4,19668,NA,NA,NA,998.18
1997,4,24035,57.84,NA,NA,1573.48
1998,4,22793,52.4,NA,NA,1013.42
1999,4,23444,58.35,NA,NA,2304.14
2000,4,23459,42.73,NA,NA,766.14
2001,4,24481,78.43,NA,NA,4206.38
2002,4,22611,126.97,NA,NA,NA
2003,4,23119,47.93,NA,24.35,NA
2004,4,24079,167.9,NA,73.73,NA
2005,4,30421,68.23,NA,121.04,NA
2006,4,27818,75.61,NA,64.06,NA
2007,4,26788,137.43,NA,88.15,NA
2008,4,25375,198.38,NA,162.18,NA
2009,4,29455,70.42,NA,59.44,NA
2010,4,27186,72.54,NA,84.71,NA
2011,4,22655,113.4,NA,85.65,NA
2012,4,22695,331.32,NA,315.4,NA
2013,4,25358,122.15,NA,102.57,NA
2014,4,22322,71.76,NA,45.13,NA
2015,4,19296,90.44,NA,50,NA
2016,4,20720.3383,222.83,NA,87.71,NA
2017,4,21813.4464,NA,NA,108.26,NA
2018,4,22015.5369,87.55,NA,36.3,NA
2019,4,17748.7429,143.82,NA,46.6014,NA
